TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3);Target
42272;233.88;237.25;232.56;235.22;22555.45;5304812.21;235.19;230.582;232.2343333;232.3366667;234.34
42273;235.14;235.67;233;233.81;15109.42;3540710.51;234.34;231.253;232.505;233.7533333;232.56
42274;233.81;234.61;231.16;232.41;17506.45;4071220.18;232.56;231.43;232.627;234.03;237.36
42275;232.4;239.68;231.69;239.14;17566.83;4169714.96;237.36;231.86;232.8663333;234.7533333;237.63
42276;239.14;240.56;235.09;236.94;19877.45;4723484.69;237.63;232.458;233.1826667;235.85;236.32
42277;236.78;238.27;234.67;236.2;20934.85;4947383.3;236.32;233.051;233.4313333;237.1033333;237.12
42278;235.87;239.44;235.01;237.15;20341.01;4823180.2;237.12;234.059;233.7283333;237.0233333;237.52
42279;238;239.06;235;237.77;16908.03;4015993.34;237.52;234.986;234.024;236.9866667;238.3
42280;237.77;239.86;236.3;238.95;17825.62;4247863.44;238.3;235.807;234.3773333;237.6466667;238.92
42281;239.06;239.98;237.62;238.6;15015.07;3587379.78;238.92;236.526;234.6963333;238.2466667;238.24
42282;238.6;240.85;236.1;240.84;20316.5;4840156.01;238.24;236.831;234.8566667;238.4866667;243.04
42283;240.85;248.19;239.52;246.57;26684.25;6485292.24;243.04;237.701;234.944;240.0666667;245.02
42284;246.79;247.65;242.3;243.2;23768.2;5823652.61;245.02;238.947;235.096;242.1;243.69
42285;243.47;244.76;242.06;242.9;13983.75;3407661.33;243.69;239.58;235.096;243.9166667;243.5
42286;243.29;244.95;242.16;244.48;14099.92;3433311.67;243.5;240.167;235.2143333;244.07;244.87
42287;244.49;246.43;243;245.71;17313.14;4239440.73;244.87;241.022;235.405;244.02;247.19
42288;245.71;248.5;244.53;248.05;19140.36;4731236.29;247.19;242.029;235.655;245.1866667;246.79
42289;248.05;248.47;245.01;245.81;10671.7;2633713.48;246.79;242.956;235.9653333;246.2833333;246.34
42290;245.81;250.89;242.82;249.73;25901.6;6380494.84;246.34;243.76;236.467;246.7733333;250.66
42291;249.97;255.93;248.06;252.47;26942.87;6753537.33;250.66;244.934;237.1703333;247.93;254.78
42292;252.47;256.5;250.3;254.49;22037.63;5614843.82;254.78;246.588;238.0003333;250.5933333;261.01
42293;254.49;267;253.69;263.09;34816.74;9087466.92;261.01;248.385;239.113;255.4833333;268.55
42294;263.09;273;260.8;270.07;25328.15;6801861.48;268.55;250.738;240.3716667;261.4466667;264.41
42295;270.04;271.17;260;261.05;10003.13;2644951.59;264.41;252.81;241.4166667;264.6566667;262.3
42296;260.99;266.01;259.82;263.66;16704.7;4381700.26;262.3;254.69;242.4383333;265.0866667;266.55
42297;264.28;272.95;262.67;270.64;28967.44;7721192.76;266.55;256.858;243.6436667;264.42;268.65
42298;270.3;272.69;264;267.89;20396.78;5479672.38;268.65;259.004;245.0306667;265.8333333;273.82
42299;267.9;280.04;267.39;275.21;30166.43;8260174.53;273.82;261.707;246.5496667;269.6733333;277.42
42300;275.21;280.19;273.46;278.6;21572.27;5984624.45;277.42;264.815;248.1273333;273.2966667;280.15
42301;278.6;284;278.22;282.84;20586.34;5767325.87;280.15;267.764;249.7413333;277.13;289.3
42302;283.03;296;282.2;283.96;30003.59;8680118.09;289.3;271.216;251.545;282.29;283.78
42303;283.96;286.99;279.25;286.9;21266.47;6035103.1;283.78;273.493;253.193;284.41;293.04
42304;286.9;300;286.15;295.54;34002.15;9964151.03;293.04;275.942;255.209;288.7066667;301.83
42305;295.8;308.48;294.4;305.67;31263.17;9436170.14;301.83;279.684;257.358;292.8833333;310.64
42306;305.67;319.6;301.7;314.82;32258.31;10020832.76;310.64;284.518;259.7916667;301.8366667;324.42
42307;314.95;334.05;313.5;328.65;39364.03;12770329.06;324.42;290.305;262.7283333;312.2966667;318.12
42308;328.28;334.67;302.99;310.18;28765.18;9150844.32;318.12;295.252;265.4283333;317.7266667;316.54
